ID|字段名|类型|||描述|备注|
1|AcctManFee|N|16|0|基金账户管理费||
2|InstAppSubsAmnt|N|16|0|法人追加认购金额||
3|InstAppSubsVol|N|16|0|法人追加认购份数||
4|Address|C|120||通讯地址||
5|InstReprIDCode|C|30||法人代表身份证件代码||
6|InstReprIDType|C|1||法人代表证件类型||
7|InstReprName|C|20||法人代表姓名||
8|AppSheetSerialNo|A|24||申请单编号|同一销售机构不能重复|
9|TotalSubsAmnt|N|16|0|申购总金额||
10|TotalAccptdSubsVol|N|10|0|成功申购总笔数|申请总笔数|
11|TotalSubsCharge|N|16|0|申购手续费总金额||
12|TotalSubsVol|N|16|0|申购总份数||
13|AvailableVol|N|16|0|持有人可用基金份数||
14|IssueType|C|1||基金发行方式|1-不限量发行，2-限额发行,3-比例配售|
15|AmntReinbursed|N|16|0|退回金额||
16|BackendLoad|N|16|0|每笔交易后端收费||
17|AcctBalanceInIndividualDistributor|N|16|0|持有人在单个销售机构的基金份数||
18|TotalVolOfDistributorInTA|N|16|0|基金总份数（含冻结）||
19|AcctNoOfFMInClearingAgency|C|28||基金管理人在资金清算机构的交收账号||
20|AcctNameOfFMInClearingAgency|C|60||基金管理人在资金清算机构的交收账户名||
21|ClearingAgencyCode|A|9||基金资金清算机构代码||
22|BasisforCalculatingDividend|N|16|0|红利/红利再投资基数|登记日基金持有人的基金份数|
23|InvestorsBirthday|A|8||投资人出生日期|格式为：YYYYMMDD|
24|DefDividendMethod|A|1||默认分红方式|0-红利转投，1-现金分红|
25|DiscountRateOfCommission|N|5|4|销售佣金折扣率|销售人申报的折扣率|
27|CertificateType|C|1||个人证件类型及机构证件类型|个人证件类型,0-身份证，1-护照,2-军官证，3-士兵证,4-港澳居民来往内地通行证，5-户口本,6-外国护照，7-其它,8-文职证，9-警官证,A-台胞证,B-外国人永久居留身份证,,机构证件类型,0-组织机构代码证,1-营业执照，2-行政机关,3-社会团体，4-军队,5-武警,6-下属机构（具有主管单位批文号）,7-基金会，8-其它，9-登记证书，A-批文,,产品证件类型,1-营业执照，8-其它，9-登记证书，A-批文|
28|DepositAcct|C|19||投资人在销售人处用于交易的资金账号||
29|RegionCode|A|4||交易所在地区编号||
30|TransferDateFromCustodian|A|8||清算资金自托管人处划出日期|格式为：YYYYMMDD|
31|TransferDateThroughClearingAgency|A|8||清算资金经清算人划出日期|格式为：YYYYMMDD|
32|TransactionCfmDate|A|8||交易确认日期|格式为：YYYYMMDD|
33|AnnContent|C|||公告内容||
34|CodeOfTargetFund|A|6||转换时的目标基金代码||
35|MinAmountByInst|N|16|0|法人首次认购最低金额||
36|MinVolByInst|N|16|0|法人首次认购最低份数||
37|CurrencyType|A|3||结算币种|具体编码依GB/T 12406-2008|
38|CustodianCode|C|3||托管人代码||
39|AmountOfPeriodicSubs|N|16|0|定时定额申购的金额||
40|DateOfPeriodicSubs|A|8||定时定额申购日期|格式为：YYYYMMDD|
41|VolOfDividendforReinvestment|N|16|0|基金账户红利再投资基金份数||
42|DividentDate|A|8||分红日/发放日||
43|DividendAmount|N|16|0|基金账户红利资金||
44|TotalDividendAmount|N|16|0|基金红利总额||
45|DividendOrShare|A|1||红利/红利再投资标志, |0-红利再投资，1-红利|
46|XRDate|A|8||除权日||
47|DownLoaddate|A|8||交易数据下传日期|指发送日期|
48|EducationLevel|C|3||投资人学历|01-研究生02-大学本科03- 大学专科04-中专或技校05-技工学校06-高中07-初中08-小学09-文盲或半文盲  |
49|EmailAddress|C|40||投资人E-MAIL地址||
50|TotalDividendIndeed|N|16|0|基金实发红利总金额||
51|FaxNo|C|24||投资人传真号码||
52|Charge|N|10|0|手续费||
53|AgencyFee|N|10|0|代理费||
54|ChargeRate|N|6|4|手续费率||
55|TotalTransFee|N|10|0|交易确认费用合计||
56|TotalFeeForDividend|N|10|0|分红费用合计||
57|AnnouncementNo|C|13||公告文件号|基金管理公司编码：(NNN) +YYYYMMDD+序号(NN)|
58|FreezingDeadline|A|8||冻结截止日期|格式为：YYYYMMDD|
59|TotalFrozenVol|N|16|0|基金冻结总份数||
60|FrozenCause|A|1||冻结原因|0-司法冻结，1-柜台冻结,2-质押冻结，3-质押、司法双重冻结 4-柜台、司法双重冻结|
61|FrontendFee|N|16|0|每笔交易前端收费||
62|ConfirmedVol|N|16|0|基金账户交易确认份数||
63|FundName|C|40||基金名称||
64|ConfirmedAmount|N|16|0|每笔交易确认金额||
65|VocationCode|C|3||投资人职业代码|01-党政机关、事业单位 02-企业单位03-自由业主04- 学生05-军人06-其他|
